N,Time(ns)
1024,233470.8
2048,63791.8
4096,154912.6
8192,388162.4
16384,940108.3
32768,2229220.9
65536,4907016.7
131072,1.10719251E7
262144,2.32136375E7
524288,4.93267251E7
