N, Good, Mediocre, Bad
128,60875.0,55418.0,83916.0
256,12917.0,45292.0,36959.0
512,18042.0,19417.0,32375.0
1024,46333.0,26374.0,4208.0
2048,30750.0,35709.0,5459.0
4096,82416.0,83168.0,3833.0
8192,71208.0,128583.0,6500.0
16384,124959.0,212917.0,14167.0
32768,228042.0,433583.0,19167.0
65536,128374.0,258458.0,7417.0
131072,233583.0,385083.0,1166.0
